다이렉트 인덱싱  체크리스트,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,투자성향,,,,,,,Factor,,,,,,,
98,1,2,4,2,2,4,5,1,1,1,1,0,0,1,1
99,3,3,1,5,3,4,5,1,1,1,1,0,0,1,1
100,2,2,1,1,1,4,2,0,0,1,1,1,0,0,0
101,4,2,2,5,2,1,3,0,1,1,0,0,1,1,0
102,1,3,4,3,3,2,4,0,0,1,0,1,0,0,1
103,4,2,2,5,5,3,1,1,1,1,1,1,0,1,0
104,3,3,1,2,5,2,3,1,1,0,1,1,0,1,1
105,5,5,2,1,2,1,2,0,1,0,1,0,0,0,0
106,4,1,3,5,4,5,3,0,1,1,1,0,0,0,0
107,2,2,2,4,3,5,5,1,1,0,0,0,1,1,0
108,2,1,5,2,1,3,5,0,0,0,1,0,0,1,1
109,5,5,1,5,1,2,5,0,0,1,0,1,1,1,0
110,3,4,1,2,1,1,4,1,1,0,0,1,1,0,1
111,1,4,2,1,3,1,4,0,0,1,1,1,1,1,1
112,4,4,5,1,4,3,2,1,0,0,0,1,0,0,1
113,3,1,1,4,3,3,5,1,0,0,0,0,0,1,0
114,3,5,3,3,4,3,5,1,0,0,1,0,1,1,0
115,5,4,5,1,2,2,4,1,0,1,0,0,0,1,1
116,4,1,3,4,1,5,1,1,0,0,0,1,1,0,0
117,4,2,2,2,2,3,3,1,0,1,0,0,1,1,0
118,1,2,1,2,1,3,2,1,1,1,0,0,1,1,0
119,4,5,2,1,2,2,1,0,1,0,1,1,1,0,1
120,4,3,3,1,3,3,5,1,1,0,1,0,0,0,0
121,5,3,4,5,1,1,5,1,1,0,0,1,0,0,1
122,5,4,4,1,1,5,2,1,0,1,1,1,1,0,1
123,5,2,2,2,3,3,4,0,1,0,0,1,0,0,1
124,5,4,1,3,3,1,5,1,1,1,1,0,0,0,1
125,4,3,1,3,1,4,1,1,1,1,0,1,1,0,0
126,3,4,5,1,2,1,2,1,0,0,0,0,1,0,0
127,2,4,1,5,3,5,2,0,0,0,0,0,1,0,0
128,3,5,2,5,5,1,3,1,1,1,1,0,1,1,1
129,4,3,3,5,4,4,4,1,1,0,0,1,0,1,1
130,5,5,4,5,5,3,3,1,0,0,0,1,1,0,0
131,4,1,2,5,4,4,5,0,1,1,0,0,1,0,1
132,2,3,2,5,1,3,1,1,0,1,1,1,0,0,0
133,5,4,5,1,2,4,4,0,1,1,0,1,1,0,0
134,2,2,5,4,3,4,1,0,0,0,1,0,0,0,1
135,4,3,5,1,1,5,3,1,1,1,0,1,1,1,0
136,4,4,3,4,1,4,4,1,0,1,1,0,0,1,0
137,4,1,5,5,1,5,3,1,1,0,1,0,1,1,1
138,3,5,1,2,5,5,5,0,0,1,1,1,0,1,0
139,1,5,1,4,4,1,4,0,1,0,1,0,1,0,0
140,3,1,4,1,2,5,2,1,0,1,0,0,1,1,1
141,1,3,3,5,2,1,4,0,1,0,0,0,0,0,0
142,2,1,1,1,5,4,3,0,0,1,1,0,1,1,1
143,2,2,3,1,5,2,3,1,1,0,1,1,1,1,0
144,3,5,2,2,2,5,3,0,1,0,1,1,0,1,0
145,3,5,1,5,5,4,5,0,0,0,0,0,0,0,0
146,1,3,3,4,2,2,4,0,1,0,1,0,1,0,0
147,3,2,5,2,5,1,2,0,1,1,0,0,1,0,1
148,5,3,1,5,2,3,4,1,0,1,1,0,1,0,0
149,2,4,4,1,1,3,3,1,0,0,1,1,0,1,0
150,5,4,4,5,3,1,4,0,0,1,0,0,0,0,0
151,3,5,2,4,5,1,3,0,1,1,0,0,1,1,0
152,5,3,3,4,1,4,4,0,1,1,1,1,0,1,0
153,4,1,1,5,3,4,3,0,0,1,1,1,1,0,1
154,1,2,4,5,2,4,4,1,1,1,1,1,0,1,1
155,3,5,5,2,3,2,4,0,1,1,0,1,1,1,1
156,2,5,3,1,5,3,2,0,0,1,0,1,0,1,0
157,4,1,4,2,3,2,5,0,0,1,0,1,0,0,0
158,3,5,3,5,5,5,2,1,1,1,1,1,1,0,1
159,2,5,5,5,3,3,2,1,1,1,0,0,1,0,1
160,3,1,1,1,5,3,5,0,0,1,0,0,0,1,0
161,3,5,5,5,3,5,5,0,1,1,1,1,1,1,1
162,4,2,3,2,2,1,4,0,1,0,0,0,0,0,0
163,2,1,5,4,3,3,2,1,0,0,0,1,0,1,1
164,5,4,4,4,4,4,3,0,0,1,1,1,1,0,0
165,4,1,1,1,1,5,4,0,0,1,1,0,1,1,1
166,1,4,3,4,2,1,4,1,1,0,0,1,1,0,1
167,5,4,3,2,1,1,2,0,0,1,0,1,1,0,0
168,4,3,5,3,4,5,4,0,0,1,1,1,0,0,0
169,1,5,1,1,5,4,3,1,1,0,0,0,1,0,0
170,5,3,3,3,4,3,3,1,1,1,0,0,1,1,1
171,3,5,2,4,2,3,3,0,1,1,1,1,1,0,1
172,5,5,5,4,1,3,4,1,0,0,0,1,1,0,1
173,3,4,4,1,3,4,1,0,1,1,0,0,0,0,1
174,1,4,4,2,3,4,2,1,0,1,0,1,0,0,0
175,1,3,3,2,3,3,2,0,0,1,1,0,0,0,1
176,4,4,2,5,2,2,4,0,0,1,1,1,1,0,0
177,3,3,4,3,1,3,2,1,0,1,1,0,0,0,0
178,2,4,1,5,1,1,4,1,0,1,1,1,0,0,1
179,3,1,2,5,5,5,1,1,1,0,0,0,1,0,0
180,2,1,2,1,2,5,5,1,1,0,0,0,0,1,0
181,5,1,1,1,1,1,2,0,0,0,0,1,1,0,1
182,5,4,2,2,1,3,3,0,1,1,1,1,1,0,1
183,5,4,2,5,3,1,3,1,1,1,1,1,1,1,1
184,1,4,3,3,4,3,2,0,1,1,0,1,1,0,0
185,3,3,1,3,3,1,1,1,0,0,1,0,0,0,1
186,2,5,5,1,3,5,2,0,0,1,0,0,0,1,0
187,3,1,2,3,3,2,3,0,1,1,1,0,1,0,1
188,2,1,4,5,3,1,2,0,1,0,1,0,1,0,1
189,1,3,5,5,4,4,1,0,1,1,0,0,1,0,1
190,1,4,3,4,3,4,3,0,1,0,0,0,1,0,1
191,4,3,4,4,2,3,4,1,0,0,1,1,1,0,0
192,4,1,5,5,4,4,1,0,0,1,1,0,1,1,0
193,2,2,1,3,1,5,4,0,1,1,0,0,0,1,1
194,3,5,5,4,1,4,3,0,1,1,1,0,0,0,0
195,1,3,1,2,1,4,1,0,1,1,0,1,0,0,1
196,5,5,5,1,4,3,3,0,1,1,1,1,1,0,1
197,1,1,3,4,3,5,4,0,0,1,1,0,0,1,1
198,5,5,5,1,2,1,3,0,1,0,1,0,1,0,1
199,5,1,4,3,3,1,3,0,0,0,1,0,0,1,0
200,5,4,2,1,1,3,5,0,0,1,1,0,1,0,0
201,2,3,5,3,1,4,1,1,1,0,1,0,0,0,0
202,4,4,2,4,5,1,5,1,1,0,1,1,0,1,1
203,4,5,2,5,5,2,5,1,0,1,1,1,0,0,0
204,3,3,3,2,5,1,3,0,0,1,1,0,0,0,0
205,5,2,3,1,1,4,5,0,1,0,1,0,1,1,1
206,2,5,2,1,3,4,2,1,0,1,0,1,0,0,1
207,4,1,4,3,3,3,2,0,1,1,0,1,0,1,0
208,1,2,2,5,3,3,3,0,1,1,1,0,0,1,1
209,4,3,1,2,2,3,2,0,0,0,1,0,0,0,1
210,2,5,2,3,2,3,1,1,0,0,1,1,0,1,1
211,2,1,3,1,3,5,2,1,0,0,0,0,0,0,1
212,4,2,1,3,3,2,3,0,1,0,0,0,1,1,0
213,5,2,3,5,2,2,3,0,1,0,1,0,1,1,0
214,5,4,1,4,5,4,3,1,1,0,1,1,0,1,1
215,3,5,3,5,3,4,3,0,1,1,1,0,1,1,0
216,3,2,2,2,4,3,3,0,0,1,0,0,1,0,1
217,1,2,5,3,1,3,4,0,1,0,0,1,0,1,1
218,5,5,2,5,4,2,1,0,0,0,0,0,0,0,0
219,1,2,5,4,3,2,1,0,0,0,1,1,0,1,0
220,5,1,5,2,3,3,4,0,1,0,1,1,1,0,1
221,4,5,3,5,4,3,4,0,1,1,1,0,1,0,0
222,5,3,1,4,4,1,1,0,1,1,1,1,0,0,1
223,3,2,2,5,5,3,5,1,0,1,0,1,0,1,0
224,1,3,2,2,2,3,1,1,1,1,0,0,1,1,1
225,1,1,3,3,1,1,2,1,1,1,0,0,0,1,1
226,3,2,3,1,5,1,4,0,1,1,0,1,0,1,1
227,4,1,4,3,1,2,1,1,0,0,0,0,1,0,1
228,3,5,3,2,1,4,5,1,1,1,1,1,1,1,0
229,5,4,3,1,2,2,2,1,1,0,0,0,0,0,0
230,4,5,2,2,4,2,1,1,0,0,0,0,0,0,0
231,2,4,5,3,1,5,2,1,0,0,1,0,1,0,1
232,2,5,5,5,2,4,1,1,1,0,0,1,0,1,1
233,2,3,3,5,2,3,2,1,1,0,0,0,1,1,0
234,4,2,4,1,5,4,2,1,0,1,1,0,0,1,1
235,3,2,2,2,5,1,4,0,1,1,0,0,0,0,0
236,4,2,3,2,4,3,2,0,0,0,0,1,0,1,1
237,5,1,3,1,1,4,5,1,1,1,0,0,1,1,0
238,4,1,5,4,2,1,1,0,1,0,1,1,0,1,1
239,2,2,5,2,5,3,5,0,1,0,1,0,0,0,0
240,5,5,5,2,5,4,4,0,0,1,0,0,1,0,0
241,1,5,3,5,5,5,3,1,0,0,0,0,0,0,1
242,2,1,1,1,3,1,2,0,1,0,1,0,0,0,0
243,4,3,4,3,4,5,2,1,0,0,1,1,1,0,0
244,2,4,4,3,1,2,3,0,0,1,0,1,0,0,1
245,4,2,5,3,5,4,4,0,0,1,1,1,1,0,1
246,2,3,3,5,3,2,1,0,1,0,0,0,0,0,1
247,3,5,4,3,5,2,2,1,1,0,1,1,0,0,1
248,1,5,5,1,3,4,3,1,0,0,1,1,1,1,0
249,5,2,4,3,5,2,4,1,1,1,0,0,1,0,0
250,2,2,5,2,4,4,5,1,1,1,0,0,1,1,0
251,1,1,4,2,2,1,1,0,1,1,1,1,0,1,0
252,1,3,5,3,4,4,5,1,0,0,0,0,1,0,1
253,1,3,3,1,4,2,5,1,1,0,1,0,0,0,1
254,2,3,3,3,2,2,1,0,0,1,1,1,0,0,1
255,3,5,5,2,1,2,1,1,0,1,0,1,1,1,1
256,5,5,5,3,5,3,5,0,0,1,1,0,0,1,0
257,1,1,1,3,2,2,1,1,1,0,1,0,1,1,0
258,5,5,3,1,5,3,3,0,1,1,1,0,1,1,0
259,1,3,2,1,2,1,4,0,0,0,0,0,1,1,1
260,4,1,1,1,4,2,4,1,0,0,1,1,0,1,1
261,3,2,4,3,1,5,5,0,0,1,1,0,0,0,1
262,5,2,5,5,5,2,2,0,1,1,0,1,1,1,1
263,3,1,4,2,1,2,3,0,0,1,0,1,1,1,0
264,4,4,5,2,4,1,5,0,1,1,0,1,1,1,0
265,3,5,4,5,5,4,5,1,0,1,0,1,1,1,1
266,1,1,2,4,2,2,3,0,1,0,0,0,1,1,0
267,3,3,3,1,5,1,5,0,0,1,0,1,1,1,0
268,5,4,4,5,2,1,3,1,1,1,0,0,0,0,0
269,3,1,3,4,3,5,4,1,1,0,1,0,1,0,0
270,1,4,5,4,4,3,5,1,1,0,0,1,1,1,0
271,4,4,3,1,1,2,1,1,1,0,0,0,1,1,1
272,5,5,2,2,4,2,2,1,1,1,1,1,0,1,1
273,4,3,5,3,1,2,4,0,0,0,1,1,1,0,1
274,3,2,4,2,3,3,5,1,1,1,0,1,0,0,1
275,5,1,3,5,5,1,2,0,0,1,1,0,1,1,1
276,1,3,5,2,5,5,3,1,1,0,0,0,0,1,0
277,4,3,4,4,4,2,1,0,1,0,1,0,1,0,1
278,4,2,3,5,4,4,1,1,1,1,0,0,0,0,0
279,2,3,1,4,2,2,5,1,1,1,1,0,1,1,0
280,4,1,5,2,3,2,1,0,0,1,1,1,1,0,1
281,1,5,4,1,5,4,4,0,1,1,0,1,1,0,0
282,2,4,5,3,2,3,3,0,1,1,1,1,1,1,0
283,2,1,4,5,2,3,3,0,1,1,1,0,1,1,0
284,4,4,2,1,2,5,2,0,1,1,1,0,1,1,0
285,3,5,2,3,4,2,2,1,1,0,0,0,0,0,1
286,5,5,3,1,3,3,3,0,1,1,0,0,0,0,0
287,3,4,5,1,3,3,2,0,1,1,0,0,1,0,0
288,4,2,2,4,3,2,5,0,0,0,1,1,1,0,0
289,3,2,5,5,3,5,1,0,1,1,1,0,1,0,0
290,1,2,4,3,4,2,5,1,0,0,1,0,0,1,1
291,5,4,2,2,2,5,4,1,1,0,0,1,0,0,0
292,2,1,1,2,2,5,2,1,1,0,0,0,1,0,0
293,1,1,2,2,1,1,2,1,0,0,0,0,0,1,1
294,2,4,4,3,2,4,4,0,0,0,0,1,1,0,1
295,2,2,5,3,4,4,3,1,1,0,1,0,1,1,0
296,3,5,2,5,2,3,1,1,0,0,0,0,0,1,0
297,5,2,3,2,3,1,2,1,1,1,1,1,1,1,0
298,3,5,1,3,2,4,1,1,1,0,0,1,1,1,0
299,4,1,3,1,5,3,2,1,0,1,0,1,1,1,1
300,1,4,2,3,5,1,2,1,0,1,0,1,0,1,0
301,4,5,5,4,5,5,4,1,0,0,1,0,1,1,1
302,2,1,2,1,4,2,1,1,1,0,1,0,1,0,1
303,3,2,1,2,4,3,4,1,1,0,0,1,1,1,1
304,5,1,4,3,2,5,5,0,1,0,0,1,1,0,0
305,2,4,4,3,5,3,5,1,1,0,1,0,1,0,0
306,4,3,1,4,2,2,1,0,1,0,0,1,0,1,0
307,1,2,3,3,3,1,5,0,1,1,0,1,1,1,0
308,5,4,2,3,4,1,4,1,1,0,1,1,0,0,1
309,4,2,1,2,5,4,5,0,1,0,1,0,0,1,1
310,1,3,1,3,3,4,5,1,0,1,0,0,0,1,1
311,3,1,4,1,5,4,1,0,1,0,0,0,1,0,0
312,1,2,4,4,2,2,2,1,1,0,1,0,0,0,0
313,5,3,3,1,5,5,1,1,1,0,0,0,1,0,0
314,5,5,3,2,5,2,2,0,1,0,1,0,0,1,0
315,5,5,1,2,5,3,1,0,0,1,0,0,1,0,0
316,5,4,2,4,3,1,1,0,1,1,1,0,0,0,1
317,2,2,5,2,4,3,4,0,1,0,1,1,1,1,1
318,1,2,4,2,4,3,3,1,0,0,1,0,0,1,1
319,5,1,3,3,5,3,1,0,1,0,1,1,0,1,0
320,2,4,3,1,1,2,5,0,0,0,0,0,1,0,1
321,3,4,2,3,1,3,2,0,0,1,0,0,1,0,0
322,3,3,5,2,5,4,2,1,0,1,0,0,1,1,0
323,3,3,3,2,5,5,5,1,1,0,0,0,1,1,1
324,2,2,3,3,3,2,5,1,1,0,0,0,1,1,1
325,5,3,4,2,1,3,3,1,0,0,0,0,1,1,0
326,3,2,2,1,4,2,1,1,1,1,1,1,0,1,1
327,1,3,4,1,3,4,4,1,0,0,0,0,1,0,1
328,5,3,1,4,1,2,1,1,1,0,1,1,1,0,1
329,1,5,1,5,4,5,2,1,1,1,1,0,1,0,0
330,1,4,2,1,4,4,4,1,1,0,1,0,0,1,1
331,1,4,1,3,4,1,5,1,0,1,0,0,0,1,1
332,1,2,1,5,2,3,5,1,0,0,1,0,1,1,1
333,2,1,4,1,4,2,1,1,1,1,1,1,0,1,1
334,3,4,5,2,1,1,4,1,0,1,1,1,0,0,1
335,1,2,5,5,2,5,3,0,0,1,0,1,1,1,1
336,5,5,5,4,5,3,3,1,1,1,0,0,0,0,1
337,4,3,2,3,5,4,4,1,1,1,0,0,0,0,1
338,3,1,2,3,2,4,5,1,0,1,1,0,0,0,1
339,5,2,3,5,1,4,2,0,1,1,0,0,1,0,1
340,1,3,3,5,3,2,2,1,0,1,0,1,0,0,0
341,4,1,5,2,1,5,1,0,0,0,1,0,0,0,1
342,3,4,2,3,1,5,1,1,0,0,0,0,0,0,1
343,4,1,3,1,1,4,3,1,1,0,1,0,1,1,0
344,3,2,4,5,2,3,5,1,0,0,1,0,0,1,0
345,5,3,1,5,4,4,4,1,0,1,1,1,1,0,1
346,5,2,4,2,4,5,1,0,1,0,0,0,1,0,1
347,4,3,4,2,3,2,3,1,1,0,1,1,1,1,1
348,3,4,5,1,4,1,4,0,1,0,1,0,1,0,1
349,4,1,1,3,3,1,2,1,0,0,0,0,1,0,1
350,2,4,1,5,5,3,3,1,1,1,1,1,0,1,0
351,2,4,1,4,1,2,1,1,1,1,1,0,1,0,0
352,5,4,2,3,3,4,2,0,1,0,1,1,0,1,1
353,2,1,2,3,1,2,4,1,1,0,0,1,0,1,1
354,4,5,1,2,2,5,4,1,0,1,0,1,1,1,0
355,3,4,5,2,5,2,2,1,0,0,0,1,1,0,1
356,1,4,3,4,4,3,5,0,1,1,1,0,0,0,0
357,1,5,2,3,2,1,5,1,1,0,0,0,0,0,0
358,2,1,5,1,1,3,4,0,0,1,0,0,0,0,0
359,1,1,2,5,3,2,1,0,1,1,0,0,1,0,0
360,3,5,4,3,1,3,5,0,0,1,1,1,0,1,1
361,4,5,5,4,4,5,1,1,0,0,1,1,1,1,1
362,1,2,2,2,4,1,2,0,1,1,1,1,1,0,0
363,3,2,4,4,4,5,5,1,0,0,0,1,0,0,1
364,4,3,2,5,2,5,5,0,1,1,1,0,1,0,0
365,1,1,1,2,1,2,3,0,1,0,1,0,1,1,0
366,5,3,2,5,5,2,4,0,1,1,1,0,0,1,0
367,4,5,4,1,5,2,4,1,1,1,0,0,0,1,0
368,4,1,3,3,3,4,1,1,1,1,1,1,0,0,0
369,5,1,5,4,2,4,3,0,0,1,0,1,0,0,0
370,4,5,5,4,1,2,5,1,0,0,0,0,0,0,0
371,1,3,1,1,2,5,3,1,0,0,1,0,0,1,0
372,1,1,2,4,3,1,4,1,0,0,0,0,0,1,1
373,2,4,5,2,4,2,1,1,0,0,1,1,1,1,0
374,3,2,4,4,1,5,5,1,1,0,1,1,1,0,1
375,2,4,2,5,4,5,5,0,0,0,1,1,1,0,0
376,5,4,3,4,3,2,4,0,0,1,0,0,0,0,1
377,1,2,3,3,5,3,3,0,0,0,0,0,0,0,1
378,4,4,1,2,3,2,1,1,0,1,1,0,0,0,0
379,2,4,2,1,4,2,3,1,1,0,0,0,0,0,1
380,1,5,1,2,4,4,5,1,1,0,0,0,1,1,0
381,1,4,2,2,5,1,1,0,0,1,0,1,0,0,1
382,1,4,4,4,3,3,5,1,0,0,1,1,1,0,0
383,2,1,3,5,2,1,5,1,1,0,0,0,1,1,1
384,1,1,4,1,3,2,3,1,1,0,0,0,0,1,1
385,2,3,4,3,5,3,1,1,0,1,0,1,1,1,0
386,1,5,4,5,3,5,5,0,1,0,0,1,0,0,1
387,1,3,4,3,5,3,3,1,1,0,1,1,1,0,0
388,1,4,3,2,2,1,1,0,1,0,1,0,0,1,0
389,1,3,5,3,4,1,1,1,0,1,0,0,1,0,0
390,1,1,1,5,3,3,4,0,0,1,0,0,0,0,0
391,5,3,1,3,5,1,3,0,0,1,1,0,1,0,1
392,1,5,3,3,2,4,5,0,0,1,0,1,1,1,0
393,4,4,1,3,1,3,1,0,1,0,1,0,0,1,0
394,1,4,3,5,3,3,4,0,0,0,0,0,1,1,1
395,3,2,3,2,4,3,5,0,0,1,0,1,1,1,0
396,4,5,4,1,1,5,1,1,1,1,0,1,0,1,1
397,4,1,4,3,2,2,4,1,0,1,1,0,0,0,1
398,5,1,4,4,2,5,4,0,1,0,0,0,0,0,0
399,5,1,2,2,5,3,4,0,0,0,0,1,1,0,1
400,3,4,4,2,3,3,5,1,0,1,0,1,1,1,0
401,2,3,5,2,1,2,5,0,1,1,0,0,1,0,0
402,1,1,3,4,4,3,2,1,1,0,1,0,0,0,1
403,4,3,4,4,2,2,5,1,0,0,1,1,0,0,1
404,1,3,5,1,1,2,1,0,0,1,0,1,0,0,0
405,4,3,3,3,1,1,2,1,0,0,0,1,0,1,1
406,4,4,1,5,4,3,4,1,0,0,0,0,0,1,1
407,5,1,5,4,4,5,5,0,0,1,1,1,1,1,0
408,2,2,1,5,2,5,5,0,0,1,0,1,1,0,0
409,4,4,2,2,2,4,1,1,1,1,0,0,1,1,1
410,5,3,1,3,2,4,3,1,1,0,0,1,0,0,0
411,1,3,3,4,2,1,3,0,0,1,1,0,1,1,0
412,2,4,2,3,4,2,5,1,1,0,0,0,1,1,0
413,5,1,1,1,5,3,4,1,0,1,0,0,0,1,1
414,5,4,5,2,1,1,5,0,0,0,1,0,0,0,1
415,5,3,2,5,4,2,4,1,1,0,1,0,1,0,0
416,1,4,5,5,3,2,4,0,0,0,1,0,1,1,0
417,5,3,1,1,1,4,3,0,0,1,0,0,1,1,0
418,2,4,1,3,5,1,2,0,0,1,0,0,1,0,0
419,4,5,3,1,4,4,5,0,0,1,0,0,1,0,1
420,1,2,1,3,3,5,3,1,1,1,0,0,1,1,1
421,2,2,5,3,4,4,5,0,0,1,0,0,0,0,0
422,3,2,3,3,2,5,4,1,0,0,0,0,1,1,0
423,3,2,3,4,1,3,5,0,0,0,1,0,0,0,1
424,4,1,2,3,1,1,3,1,0,1,0,1,1,0,1
425,1,5,2,1,4,4,1,0,0,0,0,1,0,0,0
426,2,1,1,5,3,3,2,1,1,1,0,0,1,1,0
